Title,Description,Priority,Labels,Domain,Effort,Impact
[BACKEND] Fix 211 broad except handlers swallowing real errors,"Replace bare `except Exception as e: pass` with specific exception handling. Start with routes that have silent failures (photo upload, AI recognition, webhook processing). Broad handlers hide bugs and make debugging impossible.",Urgent,backend;quality;health-scan-2026-03-24,Backend,M,High
[BACKEND] Add mypy strict mode and fix 100+ type violations,"Enable strict mypy in pyproject.toml, fix 100+ type annotation violations. Focus on routes/ first (most user-facing), then services/, then integrations/. Type safety prevents runtime errors.",High,backend;types;health-scan-2026-03-24,Backend,L,High
[FRONTEND] Fix 11 files using raw fetch() instead of typed apiClient,"Replace raw fetch() calls in: contractors, service-requests, billing, workshop pages with typed apiClient calls. Ensures auth tokens are attached and errors are consistently handled.",High,frontend;types;health-scan-2026-03-24,Frontend,S,Medium
[FRONTEND] Add error.tsx and loading.tsx to all dashboard routes,"Create route-level error boundaries and Suspense loading states. Currently 0 route-level error handlers exist. Start with high-traffic routes: products, orders, customers, invoices.",High,frontend;ux;health-scan-2026-03-24,Frontend,M,High
[DATABASE] Migrate 38 JSON columns to JSONB,"Replace `Column(JSON)` with `Column(JSONB)` for all 38 JSON columns. JSONB indexes are supported; JSON is not. Affects: workshop models (7), workflow models (6), Cin7 models (25). Requires migration.",High,database;performance;health-scan-2026-03-24,Database,M,High
[DATABASE] Add ondelete rules to 50 FKs without cascade behavior,"50 foreign key columns have no `ondelete` specified. When parent records are deleted, child records may be orphaned. Audit each FK and add appropriate CASCADE/SET NULL/RESTRICT based on business logic.",High,database;integrity;health-scan-2026-03-24,Database,M,High
[INTEGRATION] Add retry with backoff to Xero API client,"Xero API calls have no retry logic. Add exponential backoff (3 retries, 2^n seconds) for 429 and 5xx responses. Model after Cin7 client which has this pattern already.",High,integrations;reliability;health-scan-2026-03-24,Integrations,S,High
[INTEGRATION] Add retry with backoff to SendGrid client,"SendGrid email sending has no retry logic. Failed emails silently disappear. Add 3-retry backoff pattern matching Cin7 client pattern.",High,integrations;reliability;health-scan-2026-03-24,Integrations,S,Medium
[INTEGRATION] Implement circuit breaker pattern for external API calls,"No circuit breaker exists for any integration. When Cin7/Xero/Shopify is down, cascading failures can block the whole system. Implement circuit breaker in httpx client wrapper.",Medium,integrations;reliability;health-scan-2026-03-24,Integrations,L,High
[INTEGRATION] Add 429 rate-limit handling across all integrations,"No integration handles 429 Too Many Requests. When rate-limited, current code throws immediately. Add Retry-After header parsing and respect backoff across all 12 integrations.",Medium,integrations;reliability;health-scan-2026-03-24,Integrations,M,Medium
[DEVOPS] Remove hardcoded localhost from 3 production config files,"Found localhost:8000 hardcoded in next.config.ts CSP, mobile.ts client, and 1 other file. Replace with environment variables. Production uses different URL.",Urgent,devops;security;health-scan-2026-03-24,DevOps,S,High
[DEVOPS] Add structured logging correlation IDs for request tracing,"All logs use structlog but lack request correlation IDs. Debugging multi-step flows (photo upload → recognition → order) requires request ID threading. Add X-Request-ID middleware.",High,devops;observability;health-scan-2026-03-24,DevOps,M,Medium
[DEVOPS] Add Redis health check to CI/CD pipeline,"Redis is in docker-compose but not verified in CI/CD. If Redis is down, cached routes silently degrade. Add explicit health check in ci.yml.",High,devops;reliability;health-scan-2026-03-24,DevOps,S,Low
